phecode	beta	SE	chisq	OR	p	n.cases	n.var.cases	n.controls	n.var.controls	case.ctrl_ratio	firth_correct
427.12	-0.150672776925645	0.579109814548385	0.0676936192599839	0.86012910670573	0.794724950310738	1571	3	338411	763	0.00464228408651019	FALSE
367.9	0.0763738035479093	0.578828075688654	0.0174096348874668	1.07936596958619	0.895027339720548	1244	3	372344	855	0.00334099649786219	FALSE
966	0.338862159016821	0.70716974509547	0.229614232077039	1.40334989275123	0.6318100172064	640	2	337805	765	0.00189458415357973	FALSE
589	0.403185517604156	0.969121456595515	0.173082607658289	1.49658450868383	0.677386602713628	289	1	354250	806	0.000815808045165843	FALSE
159	-0.382423427179125	0.280646383573291	1.85682116558407	0.682206127424075	0.172992132075001	8164	13	355167	811	0.0229863697922386	FALSE
803.2	0.147789007414036	0.704600523824383	0.0439944954341467	1.15926827354622	0.833863854184223	749	2	375299	862	0.00199574206166283	FALSE
386.2	0.215999173794389	0.578652866664575	0.13933748326449	1.24110135359535	0.708940533798134	1051	3	368619	845	0.00285118238614938	FALSE
418.1	0.0595143494086256	0.270249008835215	0.0484970320458862	1.06132099019884	0.825699496481792	6042	14	339887	767	0.0177764963061253	FALSE
378.1	-0.249800184356553	0.707481255520749	0.124668184024537	0.77895641519934	0.724025602388294	1115	2	365185	840	0.00305324698440516	FALSE
512.8	0.299146744670931	0.253132261090605	1.39660491294992	1.34870752459397	0.237292846940701	5212	16	363489	832	0.0143388108030779	FALSE
723.1	1.08121896386524	0.979689840365676	1.21800788560628	2.94827119763195	0.269751959834459	150	1	365367	833	0.000410546108433438	FALSE
189.11	-0.225967465267995	0.578404098659921	0.15262620457346	0.797744055632528	0.696038190880131	1580	3	373179	855	0.00423389311831588	FALSE
345.12	0.792544147218381	0.70662473865892	1.25796700605836	2.2090093281416	0.262036259671796	394	2	357585	808	0.00110183592712222	FALSE
696.41	0.0329006638657687	0.380225176844401	0.00748734045454477	1.0334478754254	0.931045570319292	3001	7	364513	829	0.00823290253022526	FALSE
136	0.502551709450726	0.704537304200119	0.508807521388117	1.652933700511	0.475655527070994	547	2	378066	863	0.00144683732469992	FALSE
528.11	0.244496454635286	0.70678555076283	0.119665733476503	1.27697813486309	0.729397311623234	681	2	371764	857	0.00183180727558343	FALSE
526	1.07865415637144	0.406186452120544	7.05202063970136	2.94071913849936	0.00791758866889825	1292	8	366238	831	0.00352776063652597	TRUE
550	0.104483294454414	0.0908408431655304	1.3229133603863	1.11013684826959	0.250069862187778	60692	153	318485	715	0.190564704774165	FALSE
300.1	-0.102282394754296	0.178644830766461	0.327808995690415	0.90277457686398	0.566952087830571	15587	33	313303	727	0.0497505609585609	FALSE
626.12	0.0883674936912507	0.239962151638691	0.135612455684628	1.09238949452038	0.712682383791557	8635	19	174909	374	0.0493685287778216	FALSE
743.1	-0.0642734182327026	0.235146357980177	0.07471129798924	0.937748566919765	0.784596731493686	8758	19	370071	846	0.0236657290087578	FALSE
913	1.92213713361751	0.834644447013696	5.30353844237379	6.83555135686021	0.0212821483364062	155	2	379022	866	0.000408947237891204	TRUE
782.6	1.06361051175173	0.703921921796543	2.28305440572145	2.89681110137703	0.130794065481153	299	2	374781	856	0.00079779924809422	FALSE
578.2	-0.351889438966111	0.410651108246152	0.734288061455347	0.703357881652256	0.391496782190294	3743	6	346910	790	0.0107895419561269	FALSE
